Name,Description
ความรู้เบื้องต้นเกี่ยวกับระบบเอดูเทนเมนต์ ปาร์ก | Introduction of Edutainment Park System,  เกี่ยวกับรายวิชานี้ รายวิชานี้ ไม่มีลายเซ็นต์ผู้สอนในใบประกาศนียบัตร เนื่องจาก เป็นความร่วมมือพิเศษระหว่าง Thai MOOC Platform และ K-MOOC สาธารณรัฐเกาหลี เป้าหมายของการบรรยายชุดนี้เป็นไปเพื่อค้นหาคำตอบเรื่องกระบวนทัศน์ทางเลือกด้านการศึกษาและการอภิปรายความเสี่ยงระดับโลกที่เรากำลังเผชิญอยู่ การบรรยายชุดนี้พิจารณากรณีศึกษาและเรื่องราวต่าง ๆ ภายในกรอบด้านการศึกษา ปรัชญา สังคมวิทยา และเศรษฐศาสตร์ เพื่อวิเคราะห์ระบบการศึกษาปัจจุบัน และนำเสนอระบบเอดูเทนเมนต์ ปาร์กเป็นทางเลือกโดยมีทฤษฎีและโมเดลการปฏิบัติรองรับ รายวิชานี้วิเคราะห์ความเสี่ยงและประเด็นระดับโลกโดยพิจารณาในกรอบแนวคิดด้านเศรษฐกิจ เช่น ทุนนิยม และเสนอกระบวนทัศน์ทางเลือกโดยเน้นด้านการศึกษาเพื่อรับมือและแก้ปัญหาเหล่านี้ในระดับโลก แนวคิดและโมเดลที่ออกแบบเพื่อใช้งานในอีที ปาร์กใน AEEP และโลคาเวชันอาจทำให้เกิดความเข้าใจใหม่ ๆ เรื่องบทบาทและอนาคตของการศึกษา และให้ความเข้าใจเกี่ยวกับทัศนคติต่อชีวิตและอาชีพในอนาคตได้กว้างขวางมากขึ้น การให้คะแนนสำหรับรายวิชานี้
ทบทวนความรู้ ไมโครซอฟท์ เอ็กซ์เซลล์ เพื่อการทดสอบโดย Microsoft Office Specialist (MOS) Certificate | Microsoft Office Specialist (MOS) Certificate for Microsoft Excel (Tutorial),การคำนวณและการจัดข้อมูลในตารางได้ถูกต้อง
Cultural Management for Tourism (English Caption),Course Description Tourism management course focuses on an understanding of how culture can be deployed in tourism industry. This is in order to make it most beneficial to both tourists and the local people by demonstrating both theoretical and practical knowledge to learners. The details are divided into three parts: Total hours of learning: 10 (The number of hours of the video clips is 3 hours and 30 minutes.) Learning Objectives: Qualifications of learners: Students and people of all ages who are interested in this course Evaluation criteria:
란나 음식 | Northern Thai Food (Korean Caption),"이 과목은 자기 주도 학습 (Self-Paced Learning) 과목입니다.과목 설명 (About the course) 란나 음식 과목의 내용은 다음과 같습니다: 란나 음식에 미친 요소들, 과거와 현재 요리법, 란나 음식의 모습(한끼 식사 (One-Dish Meals), 찌개 음식, 볶음 음식, 찐 음식, 무침 음식, 남 프릭과 땀 (태국 디핑 소스) 음식, 로스트 (roast), 그릴 (grill), 튀긴 음식, 디저트 음식) 란나 음식 양념들 및 관련된 단어, 란나 음식 종류들이 많이 있기때문에 대표음식, 자주 먹는 음식, 쉽게 찾을 수 있는 수업 시간 10 시간 (VDO 수업 시간 3 시간 30 분) 과목 목적 학습자가 수업을 이수하면  학습자는  란나 음식에 미친 요소들, 란나 음식의 특성,여러종류의 란나 음식의 모습,란나 음식을 요리할 수 있으며,란나지역에 관련된 단어 등을 설명할 수 있습니다. 학습자의 자격 학습자는 란나 문화, 란나 음식에 대한 관심과 좋아하는 부문이 있어야합니다. 그리고 자신이 직접 요리해서 먹거나 혹은  란나 음식의 장사에 관심이 있는 사람입니다. 그리고 기초적인  컴퓨터 사용법을 알아야됩니다. 과목 평가방법 학습자는 평가점수의 70% 를 받아야 란나 음식 과정의 합격이 가능하며, 온라인 수료증을 받을 수 있습니다. 평가 기준은 다음과 같습니다.수료 후 시험 점수 (Post-Test) 학습자  직접 만든 요리 점수"
Northern Thai Food (English Caption),"This course is adjusted to suit a self-paced learning style.About the course Lanna cuisine course includes the following contents: (1) influential factors on and characteristics of Lanna cuisine; (2) the old and current ways to cook each dish; (3) characteristics of Lanna cuisine categorized by cooking methods (à la carte; curries (Kaeng) and soups (Chor); stir-fried, steamed food; spicy salad; chili pastes; roasted, grilled, and fried food; and desserts); (4) seasonings and related culinary terms. Due to a wide variety of Lanna food, this course teaches some selected popular dishes of which ingredients and seasonings are easy to find. The cooking methods demonstrated in this course are aimed at maintaining their original tastes and nutritional values in the food. For example, meat will be added into some recipes for more protein, and shrimp paste or sea salt will be added for iodine. Total hours of learning: 10 (The number of hours of the video clips is 3 hours and 30 minutes.) Learning Objectives: After learning, learners can tell what influences Lanna cuisine, can explain the characteristics of the cuisine and those of each category of the food, can cook every kind of food and explain related culinary terms. Qualifications of learners: Learners should be those who are interested in northern Thai culture (Lanna culture), those who love northern Thai-style cuisine, or those who want to be a cook or to open a restaurant.  In addition, they should be computer-literate."
การจัดการภาวะฉุกเฉินในผู้สูงอายุ | Emergency Management in Elderly People,แนวคิดการจัดการภาวะฉุกเฉินในผู้สูงอายุ วิธีการจัดการภาวะฉุกเฉินในผู้สูงอายุที่พบบ่อย  ได้แก่  วิธีการประเมินภาวะฉุกเฉินในผู้สูงอายุ ภาวะฉุกเฉินจากระบบหัวใจและหลอดเลือด ภาวะฉุกเฉินจากระบบการหายใจ ภาวะฉุกเฉินจากระบบประสาท ภาวะฉุกเฉินจากระบบทางเดินอาหาร ภาวะฉุกเฉินจากระบบต่อมไร้ท่อและเมตาบอลิซึม  ภาวะฉุกเฉินจากระบบทางเดินปัสสาวะ ภาวะฉุกเฉินจากการติดเชื้อ  รวมทั้งวิธีการช่วยชีวิตขั้นพื้นฐานในผู้สูงอายุ
โรคเรื้อรังและกลุ่มอาการที่พบบ่อยสำหรับผู้ดูแลผู้สูงอายุ | Common Chronic Diseases and Syndromes for Elderly Caregivers,"แนวคิดเกี่ยวกับความหมาย สาเหตุ อาการ ภาวะแทรกซ้อน และการดูแลผู้สูงอายุที่เป็นโรคความดันโลหิตสูง โรคหลอดเลือดหัวใจตีบ โรคเบาหวาน มะเร็ง โรคหลอดเลือดสมอง ภาวะสมองเสื่อมและภาวะสับสนเฉียบพลัน ปัญหากล้ามเนื้อ ปัญหากระดูก ปัญหาการมองเห็น ปัญหาการได้ยิน ผิวหนังแห้งและภาวะนอน ไม่หลับ และภาวะกลั้นปัสสาวะไม่อยู่
              ฝึกปฏิบัติการประเมินอาการ การให้คำแนะนำ การป้องกันและการดูแลผู้ป่วยสูงอายุที่เป็นโรคเรื้อรังและกลุ่มอาการที่พบบ่อย"
"การดูแลระบบทางการหายใจ ระบบทางเดินอาหารและระบบการขับถ่ายปัสสาวะของผู้สูงอายุ สำหรับผู้ดูแลผู้สูงอายุ | Respiratory Care System,Gastrointestnal Care System and Excretory Care System for Elderly Caregivers",กายวิภาคและสรีรวิทยาของระบบการหายใจ ระบบทางเดินอาหาร และระบบขับถ่ายปัสสาวะของผู้สูง สาเหตุ อาการ และอายุ พยาธิสภาพของโรคระบบการหายใจ ระบบทางเดินอาหาร และระบบขับถ่ายปัสสาวะที่พบบ่อยในผู้สูงอายุ การดูแลโรคระบบการหายใจระบบทางเดินอาหาร และระบบขับถ่ายปัสสาวะของผู้สูงอายุ
การส่งเสริมสุขภาพจิตผู้สูงอายุด้วยเทคนิคแบบบูรณาการสำหรับผู้ดูแลผู้สูงอายุ | Mental Health Care Enhancement in Elderly with Integrative Techniques for Elderly Caregivers,แนวคิดการส่งเสริมสุขภาพจิตผู้สูงอายุด้วยเทคนิคแบบบูรณาการ การส่งเสริมสุขภาพจิตผู้สูงอายุด้วยการบูรณาการเทคนิค ได้แก่ เทคนิคทางจิตวิทยาการปรึกษา ทั้งเทคนิคด้านความคิด เทคนิคด้านอารมณ์ความรู้สึก และเทคนิคด้านพฤติกรรม ตลอดจนเทคนิคและกิจกรรมอื่นที่เกี่ยวข้องได้แก่ หัวเราะบำบัด ดนตรีบำบัด ศิลปะบำบัด สัตว์เลี้ยงบำบัด และงานอดิเรก
"การประเมินสัญญาณชีพ การใช้ยา และการป้องกันการติดเชื้อ สำหรับผู้ดูแลผู้สูงอายุ | Assessment, Medication Use, and Infection Prevention for Elderly Caregivers","มโนทัศน์เกี่ยวกับการประเมินสัญญาณชีพและการแปลผล การดูแลเมื่อมีไข้ ความรู้ทั่วไปเกี่ยวกับการใช้ยา หลักการให้ยา ปัญหาที่พบบ่อยและข้อควรระวังการให้ยา การสังเกตอาการข้างเคียงของยา การให้ยาอย่างสมเหตุสมผล แนวคิดการป้องกันการติดเชื้อ การจัดการสิ่งปนเปื้อนเชื้อและการป้องกันการติดเชื้อในอวัยวะต่างๆ ของผู้สูงอายุ 
        ฝึกปฏิบัติการวัดสัญญาณชีพ การเช็ดตัวลดไข้ การให้ยา การให้คำแนะนำการใช้ยาอย่างสมเหตุสมผล การสังเกตอาการข้างเคียง การล้างมือ การใช้เครื่องมือป้องกันการติดเชื้อ การใช้เครื่องมือป้องกันการติดเชื้อ
โควิด-19 และการป้องกันการติดเชื้อในอวัยวะต่างๆ ของผู้สูงอายุ"
ภูมิปัญญาไทยกับการดูแลผู้สูงอายุสำหรับผู้ดูแลผู้สูงอายุ | Caring for the Elderly by Using Thai wisdom for Elderly Caregivers,"ภูมิปัญญาไทยถือเป็นส่วนหนึ่งที่เป็นสมบัติหรือภูมิรู้ที่เกิดจากการสั่งสมประสบการณ์ในผู้สูงอายุ ดังนั้นการดูแลผู้สูงอายุด้วยสิ่งที่อยู่ใกล้ตัวจึงเป็นวิถีการส่งเสริมสุขภาพที่ช่วยให้เกิดสุขภาวะทั้งด้านร่างกาย และจิตใจ อีกทั้งยังเป็นการให้คุณค่ากับความรู้หรือภูมิรู้ผู้สูงอายุ และทำให้เกิดการสืบสานภูมิปัญญาพื้นบ้านในท้องถิ่นต่างๆ
    การดูแลด้านร่างกาย จิตใจ และจิตวิญญาณด้วยภูมิปัญญาชาวบ้านหรือภูมิปัญญาไทยนั้นถือเป็นสิ่งที่มีคุณค่าในเชิงการอนุรักษ์และส่งเสริมให้เกิดสุขภาวะจากสิ่งที่มีอยู่ในท้องถิ่นอีกทั้งเป็นสิ่งที่มีอยู่ในผู้สูงอายุ ดังนั้น การดูแลสุขภาพผู้สูงอายุทั้งด้านร่างกายและจิตใจด้วยวิธีการ “สุนทรียสนทนา แบบสัปปายะ”  “การนวดไทย คลายปวดเมื่อย” “การแช่สมุนไพร มือ-เท้า กระตุ้นการไหลเวียนโลหิต” “การประคบน้ำมันมะกอก” และ“การฝึกหายใจสร้างพลัง” จึงเป็นสิ่งที่ผู้ดูแลควรรู้และนำมาใช้ดูแลผู้สูงอายุ"
"การดูแลสุขวิทยาส่วนบุคคลและการเคลื่อนย้ายผู้สูงอายุสำหรับผู้ดูแลผู้สูงอายุ | Personal hygiene, Lifting, Moving",การดูแลความสะอาดร่างกายเป็นสิ่งที่จำเป็นสำหรับทุกคนโดยเฉพาะในผู้สูงอายุที่มีความสามารถในการดูแลตนเองอย่างจำกัด จำเป็นต้องมีคนดูแลช่วยเหลือในการประเมินและคอยดูแลให้ความช่วยเหลือ การดูแลความสะอาดร่างกายอันประกอบด้วย การทำความสะอาดผิวหนัง ช่องปาก การดูแล ผม มือ เท้า และเล็บ การทำความสะอาดอวัยวะสืบพันธุ์ การแต่งตัวและเปลี่ยนผ้าอ้อม กิจกรรมเหล่านี้เป็นกิจวัตรประจำวันที่จำเป็นในการส่งเสริมสุขภาพและป้องกันการเกิดภาวะแทรกซ้อนต่างๆ นอกจากการดูแลสุขวิทยาส่วนบุคคลแล้ว การอุ้มยกเคลื่อนย้าย ทั้งการเลื่อนตัวบนเตียง จัดท่านั่ง ท่านอน หรือการใช้อุปกรณ์ช่วยเดิน เป็นกิจกรรมที่ปฏิบัติไปด้วยกัน ขณะเช็ดตัว หรือเมื่อต้องการเปลี่ยนท่า ในบทเรียนนี้จึงมีเนื้อหาสองส่วนนี้ เป็นหลัก
การปฐมพยาบาลผู้สูงอายุ | First Aid for the Elderly,หลักการปฐมพยาบาล วิธีการปฐมพยาบาลผู้สูงอายุที่มีการเจ็บป่วยฉุกเฉินที่พบบ่อย อาทิ บาดแผล ฟกช้ำ แมลงสัตว์กัดต่อย น้ำร้อนลวก แผลไฟไหม้ ได้รับสารเคมีอันตราย ข้อแพลง กระดูกหัก ลม หมดสติ ช็อก ชัก และสำลัก
ไมโครซอฟท์ เพาเวอร์ แอป (เครื่องมือสร้างบิซิเนสแอป โดยไม่ต้องเขียนโค้ด) | Microsoft Power App (No Code Low Code),การสร้างแอปในวันเดียวแบบไม่ต้องเขียนโค้ด
ไมโครซอฟท์ เพาเวอร์พอยต์ (โปรแกรมนำเสนอชิ้นงาน) | Microsoft PowerPoint,จัดการนำเสนอชิ้นงานทั้งแบบสไลด์และภาพนิ่งให้เหมาะสมกับประเภทงานที่ต้องการ
ทักษะความเข้าใจ การใช้เทคโนโลยีดิจิทัล และความมั่นคงปลอดภัยทางไซเบอร์ | Digital Literacy and Cyber Security,Digital Literacy and Cyber Security – การเข้าถึงข้อมูลออนไลน์ทางอินเทอร์เน็ตคืออะไร? และการปกป้องตนเองจากการถูกล่อลวงทางออนไลน์
ไมโครซอฟท์ เอ็กซ์เซลล์ (โปรแกรมการคำนวณ) | Microsoft Excel,การคำนวณและการจัดข้อมูลในตารางได้ถูกต้อง
ไมโครซอฟท์ เวิร์ด (โปรแกรมประมวลผลคำเพื่องานเอกสาร) | Microsoft Word,จัดทำรูปแบบเอกสารให้เหมาะสมกับประเภทงานที่ต้องการ
ไมโครซอฟท์ เพาเวอร์ บีไอ (เครื่องมือวิเคราะห์ข้อมูลธุรกิจ) | Microsoft Power BI,การวิเคราะห์และนำเสนอข้อมูลอย่างมีประสิทธิภาพ
ทักษะการเขียนโปรแกรมคอมพิวเตอร์ด้วยภาษาซี | Computer programming skills with C language,ทักษะการเขียนโปรแกรมคอมพิวเตอร์ด้วยภาษาซี เป็นวิชาที่มุ่งเน้นการเพิ่มทักษะการเขียนโปรแกรมภาษาซีสำหรับรายวิชาคอมพิวเตอร์โปรแกรมมิ่ง เพื่อแก้ปัญหาโจทย์ที่มีระดับความซับซ้อนตั้งแต่ง่ายไปจนถึงระดับความซับซ้อนที่มากขึ้น ซึ่งในเนื้อหาหลัก ประกอบด้วย การเขียนโปรแกรมในการแก้ปัญหาโดยใช้ if-else การวนลูป (while loop และ for loop) การใช้ Array และ Struct เป็นต้น โดยเน้นการนำมาความรู้เนื้อหาการเขียนโปรแกรมมาประยุกต์ใช้ในการแก้โจทย์ปัญหาหรือแบบฝึกหัดการเขียนโปรแกรมซึ่งจะเป็นการวางพื้นฐานแนวคิดในการแก้ไขโจทย์ปัญหาทางคอมพิวเตอร์สำหรับการเรียนรู้สำหรับโปรแกรมมิ่งขั้นสูงต่อไปแกรมมิ่งขั้นสูงต่อไป
ดูแลใส่ใจวัยสูงอายุ | Caring and Taking Care of the Elderly,แนวคิดทฤษฎีผู้สูงอายุ การปฐมพยาบาลเบื้องต้นกรณีฉุกเฉินในผู้สูงอายุ การดูแลผู้สูงอายุที่มีปัญหาที่พบบ่อย ปัญหาสุขภาพผู้สูงอายุที่พบบ่อยในระบบทางเดินอาหาร ปัญหาเกี่ยวกับภาวะสมองเสื่อมในผู้สูงอายุ ปัญหาเกี่ยวกับประสาทสัมผัส
การสาธารณสุขพื้นฐาน | Introduction to Public Health,รายวิชานี้เป็นรายวิชาที่แนะนำให้ผู้เรียนได้รู้ถึงสุขภาพและการสาธารณสุข ประวัติความเป็นมาของการสาธารณสุข การบริการด้านสุขภาพ และปัจจัยกำหนดสุขภาพ รวมถึงหลักและวิธีการส่งเสริมสุขภาพอนามัย การป้องกันและควบคุมโรค การบำบัดโรคเบื้องต้น และการฟื้นฟูสภาพแก่บุคคล ครอบครัว ชุมชน โรงเรียน และสถานประกอบการ ตลอดจนแนวคิดและความสำคัญของชุมชนสุขภาวะและการมีคุณภาพชีวิตที่ดี
"การจัดสภาพแวดล้อมที่ดี ถูกสุขอนามัย ปลอดภัย และน่าอยู่ สำหรับผู้ดูแลผู้สูงอายุ | Environmental Friendliness in Hygiene, Safety, and Comfort for Elderly Caregivers",เป็นรายวิชาที่นำเสนอเนื้อหาความรู้และทักษะทางด้านการจัดสภาพแวดล้อมที่ดี ถูกสุขอนามัย ปลอดภัย และน่าอยู่ สำหรับผู้สูงอายุ เพื่อให้ผู้ดูแลผู้สูงอายุ ตลอดจนบุคคลทุกเพศทุกวัย ทุกสถานภาพ และทุกอาชีพ เกิดองค์ความรู้และทักษะพื้นฐานที่สำคัญต่อการดูแลผู้สูงอายุ ในการดำเนินชีวิตอยู่ร่วมกันในสังคมได้อย่างผาสุก โดยผู้ดูแลผู้สูงอายุซึ่งยังขาดแคลนนั้น จำเป็นต้องได้รับการพัฒนาความรู้และทักษะให้รอบรู้เกี่ยวกับผู้สูงอายุอย่างถูกต้อง ผ่านการเรียนรู้ทางสื่อออนไลน์และนวัตกรรมการเรียนรู้สมัยใหม่ เพื่อให้สามารถอธิบายในการช่วยเหลือผู้สูงอายุในการจัดสภาพแวดล้อมที่ดี ถูกสุขอนามัย ปลอดภัย และน่าอยู่
การใช้เทคโนโลยีดิจิทัลเพื่อการติดต่อสื่อสารและการสร้างสรรค์งานสำหรับผู้ดูแลผู้สูงอายุ | Using digital technology for communication and creative work for elderly caregivers,"สถิติและแนวโน้มการใช้อินเทอร์เน็ตในประเทศไทย ทักษะการรู้เท่าทันสื่อ ภัยออนไลน์และตัวอย่างของภัยออนไลน์ การเรียนรู้จาก 2 โลก (โลกจริง กับ โลกเสมือน) สื่อสังคมออนไลน์และประเภทของสื่อสังคมออนไลน์ ความฉลาดทางดิจิทัลและทักษะที่จำเป็นของพลเมืองในยุคดิจิทัล การบริหารจัดการเวลาบนโลกดิจิทัล ทักษะการเอาใจเขามาใส่ใจเราทางดิจิทัล มารยาททางอินเทอร์เน็ตที่ควรรู้ และการรักษาความปลอดภัยบนโลกไซเบอร์ 
        หลักการออกแบบสื่ออินโฟกราฟิก ขั้นตอนการสร้างและองค์ประกอบของอินโฟกราฟิก และการใช้โปรแกรมหรือแอปพลิเคชันเพื่อการติดต่อสื่อสารและการประชุม การใช้แอปพลิเคชันเพื่อการติดต่อสื่อสารสร้างชุมชนออนไลน์ด้วยเทคโนโลยีสื่อสังคมออนไลน์ต่างๆ เช่น Line Facebook Youtube ฯลฯ 
        การสร้างสรรค์งานอย่างถูกต้องภายใต้สัญญาอนุญาต Creative Commons และการค้นคว้าหาสื่อภาพ เสียงและวิดีโอและความรู้ต่างๆ จากสื่อออนไลน์ได้ และการใช้แอปพลิเคชันที่เหมาะสมสำหรับผู้ดูแลผู้สูงอายุและผู้สูงอายุ"
ภาษาไทยเพื่อการพัฒนาปัญญา | Thai for Intellectual Development,รายวิชานี้จะอธิบายถึงสุนทรียภาพทางภาษาในทักษะการฟัง การพูด การอ่าน และการเขียน ทักษะการสื่อสารเพื่อการพัฒนาปัญญา ทักษะการรับสาร การฟังจับใจความสำคัญ การฟังเชิงลึก การอ่าน การอ่านจับใจความ การอ่านตีความ การอ่านอย่างมีวิจารณญาณ การวิเคราะห์ และประเมินค่า การฟังเชิงลึก สุนทรียสนทนา การส่งสาร การพูดต่อสาธารณะ การนำเสนอความคิดและผลงาน การย่อความ การเขียนรายงาน การใช้ภาษาไทยในการแสวงหาความรู้ได้ด้วยตนเองทักษะการส่งสาร การพูด การเขียนอย่างสร้างสรรค์
การเข้าใจดิจิทัล | Digital Literacy,รายวิชานี้จะอธิบายถึงความเข้าใจและการใช้เทคโนโลยีดิจิทัล การสื่อสารในยุคดิจิทัล การทำธุรกรรมออนไลน์ สังคมออนไลน์การเรียนรู้และการสืบค้นจากสื่อดิจิทัล การวิเคราะห์และรู้เท่าทันสื่อ นำเสนอในรูปแบบดิจิทัล ผลกระทบความปลอดภัย คุณธรรมจริยธรรม และกฎหมาย ที่เกี่ยวข้องกับการใช้สื่อและเทคโนโลยีดิจิทัล
ทักษะการสื่อสารภาษาอังกฤษ | English Communication Skills,รายวิชานี้จะอธิบายถึงทักษะการฟัง พูด อ่าน และเขียนภาษาอังกฤษ โดยเน้นคำศัพท์ สำนวน โครงสร้างพื้นฐาน และวัฒนธรรมของเจ้าของภาษา เพื่อติดต่อสื่อสารในชีวิตประจำวัน
การดูแลโภชนาการอย่างปลอดภัยและถูกสุขอนามัยสำหรับผู้ดูแลผู้สูงอายุ | Elderly Caring in Nutritional Care with the Safety and Hygiene in the Elderly for Elderly Caregivers,หลักการด้านโภชนาการที่จำเป็นสำหรับผู้สูงอายุ คุณภาพและความปลอดภัยของอาหารและน้ำดื่ม   การจัดการอาหารอย่างปลอดภัยและถูกสุขอนามัยอาหารจนถึงการนำไปจัดเสิร์ฟหรือบริการให้แก่ผู้สูงอายุ การจัดเก็บอาหารให้คงคุณค่าทางโภชนาการ และการประเมินภาวะโภชนาการ นับเป็นสมรรถนะขั้นพื้นฐานสำหรับผู้ดูแลผู้สูงอายุมืออาชีพ
ภาษาจีนเพื่อการสื่อสาร | Chinese for Communication,การพัฒนาทักษะการใช้ภาษาจีนเพื่อการสื่อสารในชีวิตประจำวัน เช่น การเข้าพักโรงแรม การซื้อของ อาการและเครื่องดื่ม การถามทาง
กฎหมายแรงงานสำหรับผู้ดูแลผู้สูงอายุ | Labour Law for Elderly Caregivers,"กฎหมายแรงงานสำหรับผู้ดูแลผู้สูงอายุ สัญญาจ้างแรงงานตามประมวลกฎหมายแพ่งและพาณิชย์ การคุ้มครองการใช้แรงงานสิทธิต่างๆ ที่ลูกจ้างพึงได้รับตั้งแต่ สิทธิขั้นพื้นฐาน การใช้แรงงานทั่วไป ค่าจ้าง 
ค่าล่วงเวลา ค่าทำงาน ในวันหยุด การใช้แรงงานหญิงและเด็ก และสิทธิของลูกจ้างตามกฎหมายกรณีเลิกจ้าง กรณีลาออกจากงาน ค่าตอบแทนในการทำงาน ค่าชดเชย และประกันสังคมเพื่อให้ผู้เรียน ซึ่งเป็นผู้ดูแลผู้สูงอายุมีความรู้ และทักษะเกี่ยวกับกฎหมายแรงงานเพื่อพัฒนาตนเอง ในด้านกฎหมายเป็นประโยชน์ต่อการรับรู้สิทธิ หน้าที่ของตนในการทำงานและการดูแลผู้สูงอายุที่เป็นนายจ้างต่อไป"
ความรู้เรื่องการเงินสำหรับผู้ดูแลผู้สูงอายุ | Financial Literacy for Elderly Caregivers,แนวคิดและความสำคัญของความรู้เรื่องการเงินและการจัดการการเงินส่วนบุคคล การจัดทำบัญชีรายรับรายจ่าย การประมาณการรายรับรายจ่าย และงบแสดงฐานะทางการเงินส่วนบุคคล แนวคิดการวางแผนทางการเงินส่วนบุคคล แนวคิดหลักปรัชญาเศรษฐกิจพอเพียง การประยุกต์ปรัชญาเศรษฐกิจพอเพียงในการจัดการทางการเงิน การจัดการการเงินตามแนวทางเศรษฐกิจพอเพียง การจัดการการออมเงินและการวางแผนการออม การจัดการการลงทุนและการวางแผนการลงทุน แผนการลงทุนตามวัย และการวางแผนทางการเงินเพื่อการเกษียณ ความรู้เรื่องการเงินที่สำคัญในการวางแผนทางการเงินเพื่อการเกษียณ ได้แก่ มูลค่าของเงินตามเวลา ผลของดอกเบี้ยทบต้น และภาวะเงินเฟ้อ
"บทบาท หน้าที่ ความรับผิดชอบ และการดูแลตนเองสำหรับผู้ดูแลผู้สูงอายุ | Role, Function, Responsibilities and Self Care for Elderly Caregivers","ศึกษาบทบาท หน้าที่ ความรับผิดชอบของผู้ดูแลผู้สูงอายุ จริยธรรมและองค์ประกอบทางจริยธรรม ของผู้ดูแล การดูแลทดแทนในกิจวัตรประจำวัน สุขภาพอนามัย และภาวะความเจ็บป่วย การสร้างเสริมสุขอนามัย การป้องกันอุบัติเหตุ อุบัติภัย และโรคที่เพิ่มความเสื่อมในผู้สูงอายุ การศึกษาหาความรู้อย่างต่อเนื่องและแหล่งที่มีประโยชน์ในการดูแลทั้งในเมือง ชนบท และชุมชนในกิจกรรมการฟื้นฟูสุขภาพ และแนวทางลดหรือผ่อนคลายความเครียดในผู้สูงอายุ
        การดูแลตนเองของผู้ดูแล การต้องการของผู้ดูแล สาเหตุของความเครียด ผลกระทบที่เกิดขึ้นจากการ ดูแล วิธีการจัดการความเครียดอย่างเหมาะสม เทคนิคการผ่อนคลาย การฝึกสมาธิเบื้องต้น การใฝ่หาความรู้อย่างต่อเนื่อง การป้องกันการเกิดความรุนแรงในครอบครัว และการศึกษาหาความรู้เกี่ยวกับทักษะการสื่อสาร
ผู้สูงอายุ"
กระบวนการเลี้ยงปลาและการแปรรูปเพิ่มมูลค่าผลผลิตจากปลาและสาหร่าย | Sustainable aquaculture and value-added products from fish and seaweed,รายวิชานี้เป็นรายวิชาที่รวมเอาองค์ความรู้เกี่ยวกับกระบวนการและนวัตกรรมในการเลี้ยงปลาและสาหร่าย การนำผลิตภัณฑ์จากเนื้อปลาและสาหร่ายมาแปรรูปเพื่อเพิ่มมูลค่า เพื่อการผลิตอาหารในครัวเรือนหรือการสร้างอาชีพ รวมถึงการตลาด ช่องทางการขายสินค้าออนไลน์สำหรับการขายสินค้าทางด้านการประมงเพื่อสร้างเป็นอาชีพ
ระบบธุรกิจอัจฉริยะ (Business Intelligence),ความหมาย ความสำคัญ และแนวคิดระบบธุรกิจอัจฉริยะ การเตรียมแหล่งข้อมูลตามรูปแบบระบบธุรกิจอัจฉริยะ การเชื่อมโยงแหล่งข้อมูลเข้าสู่ระบบธุรกิจอัจฉริยะ การแปลงข้อมูลผ่านกระบวนการระบบธุรกิจอัจฉริยะ การสร้างรายงานหลากหลายมิติผ่านตัวนำเสนอการวิเคราะห์รายงานเพื่อให้เป็นสารสนเทศที่สามารถช่วยผู้บริหารองค์กรนำไปใช้ในการตัดสินใจได้
ปศุสัตว์สร้างอาชีพ | Animal farming and farm management,ปศุสัตว์สร้างอาชีพเป็นรายวิชาที่รวมเอาองค์ความรู้เกี่ยวกับการจัดการฟาร์มปศุสัตว์ การขุนโคเนื้อระยะสั้น การคัดเลือกน้ำเชื้อพันธุ์พ่อโคเพื่อการปรับปรุงพันธุ์ระดับฟาร์ม อาหารสำหรับโคและกระบือ การเลี้ยงสุกร การเลี้ยงและการขยายพันธุ์ไก่ดำ การเลี้ยงไก่ไข่อารมณ์ดี รวมถึงการนำผลิตภัณฑ์จากเนื้อสัตว์มาแปรรูปเพื่อเพิ่มมูลค่า เพื่อการผลิตอาหารในครัวเรือนหรือการสร้างอาชีพ
คอมพิวเตอร์กราฟิก | Computer Graphic,แนวคิดและทฤษฎีเกี่ยวกับการออกแบบงานกราฟิก การตกแต่งภาพนิ่ง การวาด การสร้างภาพ 2 มิติ การจัดองค์ประกอบภาพและข้อความ การใช้แสงและสีด้วยโปรแกรมประยุกต์ การสร้างภาพกราฟิกแบบบิตแมปและแบบเวกเตอร์ และการประยุกต์ใช้
การวิจัยด้านเทคโนโลยีสารสนเทศทางธุรกิจ | Research in Business Information Technology,เนื้อหาประกอบด้วยแนวคิดการทำงานวิจัยด้านเทคโนโลยีสารสนเทศทางธุรกิจ  กระบวนการทำวิจัย ระเบียบวิธีวิจัย การเขียนโครงร่างการวิจัย การใช้โปรแกรมคอมพิวเตอร์วิเคราะห์ข้อมูลการวิจัยเชิงปริมาณด้วยสถิติเบื้องต้น และช่องทางการเผยแพร่งานวิจัยทางเทคโนโลยีสารสนเทศธุรกิจ
